Employee Number,Punch Date,Punch Time,Note
2055,1/8/2026,7:52:00,Reported via WhatsApp - phone GPS was off
2053,1/8/2026,9:28:00,Reported via WhatsApp - phone GPS was off
2054,1/8/2026,9:28:00,Reported via WhatsApp - phone GPS was off
2055,3/8/2026,8:26:00,Reported via WhatsApp - phone GPS was off
AC0001,4/8/2026,9:29:00,Reported via WhatsApp - phone GPS was off
2055,10/8/2026,8:29:00,Reported via WhatsApp - phone GPS was off
AC0001,29/8/2026,9:12:00,Reported via WhatsApp - phone GPS was off
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
